"","id_footbal_team","Player","MP","Starts","Min","90s","goal 90","assit 90","G-p 90","PK","PKatt","CrdY","CrdR","Gls","Ast","G+A","G-PK","G+A-PK","Sh.x","Shot on Target","SoT%","Sh/90","SoT/90","G/Sh","G/SoT","Dist","FK","total completed","total tempted"," total %completed ","total distance","progressive distance","short completed","short attempted","short%","mediumm completed","medium attempted","%medium","long complted","long attempted","long %","xA","KP","1/3.x","PPA","CrsPA","Prog.x","SCA","SCA90","PassLive","PassDead","Drib","Sh.y","Fld","Def","GCA","GCA90","ATG in play","ATG not in play","ATG drib","ATG shot","ATG fouls","ATG finalized","Tkl","TklW","Def 3rd.x","Mid 3rd.x","Att 3rd.x","#contrs opponents","Att.x","Tkl%","Past","Press","Succ.x","%","Pressin def","Press mid","Press att","Blocks","Sh","ShSv","Pass","Int","Tkl+Int","Clr","Err","Touches","Def Pen","Def 3rd.y","Mid 3rd.y","Att 3rd.y","Att Pen","Live","Succ.y","Att.y","Succ%","#Pl","Megs","Carries","TotDist","PrgDist","Prog.y","1/3.y","CPA","Mis","Dis","Targ","Rec","Rec%","prog. ric.","2CrdY","Fls","sub_fouls","Off","Crs","OG","Recov","Won","Lost","Won%"
"29","1","Ruslan Malinovskyi",36,22,1876,20.8,8,12,7,1,1,3,0,0.38,0.58,0.96,0.34,0.91,69,23,33.3,3.31,1.1,0.1,0.3,20.6,12,857,1149,74.6,17113,5315,324,393,82.4,379,463,81.9,134,235,57,9.7,75,87,56,6,154,126,6.04,84,23,5,6,7,1,16,0.77,14,2,0,0,0,0,23,17,1,16,6,5,20,25,15,411,111,27,46,184,181,19,1,0,18,3,26,6,1,1443,9,114,622,819,83,1330,53,84,63.1,56,3,1130,6078,3364,194,61,20,45,61,1320,1110,84.1,207,0,45,55,1,31,0,153,29,28,50.9
"30","1","Sam Lammers",15,1,291,3.2,2,0,2,0,0,0,0,0.62,0,0.62,0.62,0.62,9,4,44.4,2.78,1.24,0.22,0.5,12.9,0,95,126,75.4,1254,231,68,83,81.9,23,30,76.7,2,4,50,0.3,4,6,3,0,9,10,3.09,8,0,2,0,0,0,1,0.31,0,0,1,0,0,0,3,3,0,2,1,0,5,0,5,44,12,27.3,2,18,24,1,1,0,0,0,3,3,0,178,5,10,70,104,32,175,16,20,80,17,0,150,426,217,14,4,5,16,11,216,146,67.6,53,0,5,5,2,1,0,19,10,12,45.5
"31","1","Squad Total",38,418,3420,38,89,65,83,6,7,67,3,2.34,1.71,4.05,2.18,3.89,614,225,36.6,16.16,5.92,0.14,0.37,16,26,18159,21836,83.2,340271,110674,7682,8623,89.1,7916,8986,88.1,2276,3481,65.4,55.8,474,1506,519,87,1924,1028,27.05,787,62,63,53,45,18,153,4.03,118,7,12,8,5,3,672,425,273,293,106,182,549,33.2,367,5673,1828,32.2,1497,2650,1526,539,93,3,446,501,1173,758,8,26478,1943,6889,12811,8433,1304,24879,422,712,59.3,448,31,18202,94212,48906,2258,682,233,523,529,21126,18159,86,1939,1,585,477,57,432,1,3702,698,563,55.4
"32","1","Viktor Kovalenko",1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,100,27,15,1,1,100,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,66.7,1,1,1,1,0,0,1,0,0,1,0,5,1,3,2,0,0,5,0,0,0,0,0,2,1,1,0,0,0,1,0,6,3,50,1,0,0,0,0,0,0,0,1,0,100
"33","2","Adolfo Gaich",15,9,768,8.5,2,0,2,0,0,1,0,0.23,0,0.23,0.23,0.23,23,7,30.4,2.7,0.82,0.09,0.29,13.7,0,90,141,63.8,1307,235,48,70,68.6,26,39,66.7,9,11,81.8,0.3,5,2,4,1,7,14,1.64,8,0,2,0,2,2,3,0.35,1,0,1,0,0,1,10,3,2,7,1,0,9,0,9,203,40,19.7,15,114,74,8,0,0,8,5,15,4,0,261,4,16,142,120,39,254,10,21,47.6,12,4,140,561,242,12,5,2,25,13,409,187,45.7,65,0,24,19,3,3,0,28,15,52,22.4
"34","2","Alessandro Tuia",27,19,1765,19.6,1,0,1,0,0,6,0,0.05,0,0.05,0.05,0.05,7,1,14.3,0.36,0.05,0.14,1,12.2,0,621,786,79,14181,4873,153,168,91.1,325,380,85.5,130,214,60.7,0.2,3,37,5,1,34,9,0.46,7,0,0,1,0,1,0,0,0,0,0,0,0,0,53,30,46,5,2,19,30,63.3,11,234,86,36.8,178,50,6,26,8,0,18,30,83,101,1,1011,172,605,418,43,12,941,4,7,57.1,4,0,533,2934,1609,29,2,0,6,3,603,594,98.5,0,0,27,12,0,7,0,120,28,15,65.1
"35","2","Amadou Diambo",1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,87.5,95,16,5,5,100,2,3,66.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,7,3,0,9,2,3,66.7,2,0,10,31,2,0,0,0,0,0,9,8,88.9,0,0,0,0,0,0,0,1,0,0,NA
"36","2","Andres Tello",17,2,413,4.6,1,0,1,0,0,3,0,0.22,0,0.22,0.22,0.22,7,3,42.9,1.53,0.65,0.14,0.33,14.4,0,134,193,69.4,2407,948,63,75,84,49,69,71,17,37,45.9,0,1,13,1,0,16,5,1.09,4,1,0,0,0,0,0,0,0,0,0,0,0,0,11,8,8,3,0,4,20,20,16,93,32,34.4,44,32,17,11,1,0,10,7,18,9,0,254,18,76,106,79,14,237,3,6,50,4,0,136,635,394,16,2,4,9,4,183,152,83.1,14,0,6,4,0,6,0,38,14,10,58.3
"37","2","Artur Ioni?a",36,34,2835,31.5,2,0,2,0,0,6,0,0.06,0,0.06,0.06,0.06,24,8,33.3,0.76,0.25,0.08,0.25,18.3,0,598,767,78,9436,2447,332,389,85.3,193,241,80.1,47,79,59.5,0.4,9,48,10,3,39,26,0.83,19,1,2,0,2,2,4,0.13,2,0,0,0,1,1,51,35,19,27,5,15,56,26.8,41,543,159,29.3,141,299,103,44,13,0,31,35,86,31,0,1033,55,251,601,251,38,1014,20,30,66.7,21,0,576,3290,1537,60,27,2,23,26,797,572,71.8,64,0,60,24,1,17,0,240,71,89,44.4
"38","2","Bryan Dabo",25,12,1117,12.4,0,0,0,0,0,5,0,0,0,0,0,0,12,2,16.7,0.97,0.16,0,0,17.9,0,456,584,78.1,8101,2249,205,248,82.7,178,219,81.3,58,85,68.2,0.3,9,48,13,3,64,22,1.77,20,1,0,0,1,0,2,0.16,2,0,0,0,0,0,15,8,9,4,2,6,17,35.3,11,181,52,28.7,59,93,29,15,2,0,13,14,29,18,0,715,31,149,423,200,23,699,14,24,58.3,14,1,439,2727,1463,61,26,5,20,11,577,489,84.7,36,0,18,19,1,14,0,128,53,21,71.6
