"","Player.Name","Yearly.Salary","Age","Position","Nationality","team.y","MP","Starts","Min","X90s","goal.90","assit.90","G.p.90","PK","PKatt","CrdY","CrdR","Gls","Ast","G.A","G.PK","G.A.PK","Sh.x","Shot.on.Target","SoT.","Sh.90","SoT.90","G.Sh","G.SoT","Dist","FK","total.completed","total.tempted","X.total..completed.","total.distance","progressive.distance","short.completed","short.attempted","short.","mediumm.completed","medium.attempted","X.medium","long.complted","long.attempted","long..","xA","KP","X1.3.x","PPA","CrsPA","Prog.x","SCA","SCA90","PassLive","PassDead","Drib","Sh.y","Fld","Def","GCA","GCA90","ATG.in.play","ATG.not.in.play","ATG.drib","ATG.shot","ATG.fouls","ATG.finalized","Tkl","TklW","Def.3rd.x","Mid.3rd.x","Att.3rd.x","X.contrs.opponents","Att.x","Tkl.","Past","Press","Succ.x","X.","Pressin.def","Press.mid","Press.att","Blocks","Sh","ShSv","Pass","Int","Tkl.Int","Clr","Err","Touches","Def.Pen","Def.3rd.y","Mid.3rd.y","Att.3rd.y","Att.Pen","Live","Succ.y","Att.y","Succ.","X.Pl","Megs","Carries","TotDist","PrgDist","Prog.y","X1.3.y","CPA","Mis","Dis","Targ","Rec","Rec.","prog..ric.","X2CrdY","Fls","sub_fouls","Off","Crs","OG","Recov","Won","Lost","Won."
"61","Antonino La Gumina",988000,24,"ST","Italy","u.c.-sampdoria",9,4,341,3.8,0,0,0,0,0,0,0,0,0,0,0,0,11,1,9.1,2.9,0.26,0,0,15,0,49,72,68.1,691,108,23,35,65.7,20,24,83.3,1,3,33.3,0,0,3,2,0,3,4,1.06,2,0,0,1,0,1,1,0.26,0,0,0,1,0,0,3,3,0,1,2,0,0,0,0,75,21,28,2,19,54,2,1,0,1,4,7,6,0,131,6,12,47,75,24,125,4,5,80,4,0,80,352,189,12,2,5,17,7,232,92,39.7,36,0,5,6,2,4,0,13,11,30,26.8
"62","Antonio Barreca",1612000,25,"D","Italy","acf-fiorentina",3,1,85,0.9,0,0,0,0,0,0,0,0,0,0,0,0,2,1,50,2.12,1.06,0,0,14.1,0,31,48,64.6,474,166,16,20,80,13,19,68.4,1,7,14.3,0,1,3,1,0,5,1,1.06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,1,16.7,3,1,2,2,0,0,2,0,0,0,0,54,1,8,24,25,3,39,0,0,0,0,0,25,124,86,8,2,1,0,1,38,29,76.3,1,0,1,0,1,4,0,7,1,6,14.3
"63","Antonio Candreva",5044000,33,"M","Italy","u.c.-sampdoria",35,28,2505,27.8,5,8,3,2,2,1,0,0.18,0.29,0.47,0.11,0.4,57,18,31.6,2.05,0.65,0.05,0.17,22.2,4,1099,1629,67.5,22297,8444,473,546,86.6,399,532,75,205,466,44,5.8,62,117,65,21,186,105,3.77,62,29,4,6,4,0,13,0.47,7,3,0,2,1,0,25,14,14,9,2,18,48,37.5,30,283,74,26.1,103,108,72,39,3,0,36,25,50,22,0,1902,49,333,894,854,66,1685,31,57,54.4,34,5,1317,9011,5009,228,85,15,43,22,1617,1347,83.3,125,0,15,29,10,153,0,207,2,15,11.8
"64","Antonio Mazzotta",286000,30,"D","Italy","crotone",2,1,56,0.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,63.6,90,5,3,3,100,4,6,66.7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8,1,12.5,2,5,1,0,0,0,0,0,1,1,0,16,1,4,9,5,1,14,1,1,100,1,0,9,62,48,1,1,0,3,0,14,11,78.6,1,0,2,0,0,1,0,1,1,0,100
"65","Antonio Mirante",1872000,37,"GK","Italy","as-roma",13,13,1153,12.8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,436,78.2,9348,5673,66,66,100,160,165,97,113,202,55.9,0,0,2,0,0,1,3,0.23,3,0,0,0,0,0,2,0.16,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,100,1,0,0,1,0,0,1,0,0,1,0,464,419,459,5,0,0,336,0,0,0,0,0,209,861,519,0,0,0,0,0,197,197,100,0,0,0,2,0,0,0,83,0,0,NA
"66","Antonio Sanabria",2028000,24,"ST","Paraguay","torino",14,12,978,10.9,5,1,5,0,0,2,0,0.46,0.09,0.55,0.46,0.55,19,11,57.9,1.75,1.01,0.26,0.45,14.4,0,206,270,76.3,3259,383,115,148,77.7,66,78,84.6,17,24,70.8,0.9,9,10,7,1,11,19,1.75,14,0,1,1,2,1,2,0.18,2,0,0,0,0,0,7,4,2,2,3,3,11,27.3,8,211,36,17.1,17,105,89,7,1,0,6,10,17,7,0,387,7,28,209,178,42,378,9,19,47.4,10,2,272,1418,549,27,8,5,25,20,547,301,55,63,0,17,12,3,5,0,38,27,47,36.5
"67","Ardian Ismajli",988000,23,"D","Albania","spezia-calcio",17,14,1297,14.4,1,1,1,0,0,3,1,0.07,0.07,0.14,0.07,0.14,6,1,16.7,0.42,0.07,0.17,1,11.3,0,633,709,89.3,15083,3316,107,120,89.2,382,401,95.3,141,181,77.9,0,0,31,1,1,31,8,0.56,5,0,0,3,0,0,3,0.21,1,0,0,2,0,0,19,12,12,6,1,8,17,47.1,9,134,47,35.1,69,62,3,12,6,0,6,24,43,92,2,856,81,462,450,12,5,830,0,0,0,0,0,498,3283,1803,43,4,0,1,2,557,548,98.4,1,1,19,13,0,1,0,125,48,29,62.3
"68","Arkadiusz Reca",676000,25,"D","Poland","crotone",30,28,2313,25.7,2,3,2,0,0,7,0,0.08,0.12,0.19,0.08,0.19,30,7,23.3,1.17,0.27,0.07,0.29,18.3,0,735,1047,70.2,13426,4548,311,390,79.7,331,447,74,83,152,54.6,3,25,27,28,13,82,49,1.91,32,3,6,0,6,2,13,0.51,4,2,3,0,4,0,34,21,17,10,7,9,40,22.5,31,357,104,29.1,157,131,69,44,2,0,42,51,85,73,1,1361,107,423,588,456,78,1188,35,60,58.3,36,2,798,5599,3489,166,50,23,36,21,919,751,81.7,93,0,33,25,5,84,0,202,33,36,47.8
"69","Armando Izzo",3016000,28,"D","Italy","torino",25,24,2004,22.3,2,0,2,0,0,3,0,0.09,0,0.09,0.09,0.09,15,3,20,0.67,0.13,0.13,0.67,8.1,0,965,1167,82.7,19688,6464,372,397,93.7,417,472,88.3,169,282,59.9,0.4,6,76,7,3,75,25,1.12,19,0,1,3,1,1,0,0,0,0,0,0,0,0,33,24,18,13,2,12,36,33.3,24,250,78,31.2,115,109,26,32,12,0,20,53,86,111,0,1413,115,612,738,162,35,1350,7,13,53.8,7,0,894,5245,2707,73,20,0,11,7,931,901,96.8,12,0,42,37,2,13,0,195,69,37,65.1
"70","Arthur",6968000,23,"M","Brazil","juventus",22,13,1157,12.9,1,0,1,0,0,3,0,0.08,0,0.08,0.08,0.08,3,1,33.3,0.23,0.08,0.33,1,23,0,1013,1073,94.4,19431,4634,393,417,94.2,471,489,96.3,140,152,92.1,0.9,17,86,6,0,66,26,2.02,24,0,0,0,1,1,1,0.08,0,0,0,0,0,1,22,15,10,12,0,5,25,20,20,208,62,29.8,77,105,26,12,2,1,10,16,38,9,2,1168,50,324,719,224,10,1148,16,18,88.9,16,1,903,4640,1937,80,22,1,10,15,984,948,96.3,19,0,11,20,0,0,0,133,1,5,16.7
