"","Yearly.Salary","Player.Name","Position","Nationality","team.y","Age","X90s","goal.90","PKatt","CrdY","CrdR","G.PK","SoT.","Sh.90","SoT.90","G.Sh","Dist","FK","total.completed","X.total..completed.","short.","X.medium","long..","SCA90","PassDead","Drib","Sh.y","Fld","Def","GCA","GCA90","TklW","Att.3rd.x","Past","Press.att","Pass","Err","Def.Pen","X.Pl","Megs","CPA","Mis","X2CrdY","Off","Crs","Won","Lost","Won.","PK"
"264",1248000,"Joakim Mahle","D","Denmark","atalanta",23,13.5,0,0,0,"No",0,28.6,1.55,0.44,0,18.8,0,592,81.1,88.6,80.9,48,2.52,3,2,3,"Equal and under",0,5,0.37,11,6,8,62,26,0,16,23,3,10,15,0,0,36,7,15,31.8,"No"
"265",2392000,"Joao Pedro","ST","Brazil","cagliari",28,36.1,16,5,4,"No",0.33,40.3,1.99,0.8,0.17,13.9,3,703,72.8,80,73.1,68.4,2.38,0,3,8,"Over",2,8,0.22,13,6,21,178,26,0,47,38,3,10,72,0,13,34,69,95,42.1,"Yes"
"266",2392000,"Joaquin Correa","ST","Argentina","lazio",24,21.5,8,1,3,"Yes",0.33,40.7,2.51,1.02,0.13,13.4,0,596,82.2,88.1,84.3,73.8,4,3,11,6,"Over",1,16,0.74,10,4,19,147,13,0,11,37,3,16,75,1,5,9,11,33,25,"Yes"
"267",5096000,"Jordan Veretout","M","France","as-roma",27,22.8,10,5,4,"No",0.22,40,1.53,0.61,0.14,20.2,3,1116,84.8,89.6,91.2,69.6,2.59,11,2,1,"Equal and under",3,7,0.31,24,2,28,69,19,3,35,14,0,11,15,0,2,25,15,15,50,"Yes"
"268",3744000,"Jose Callejon","M","Spain","acf-fiorentina",33,7.4,0,0,0,"No",0,11.1,1.22,0.14,0,17.8,0,211,74.3,86.3,76.7,57.1,1.63,1,0,0,"Equal and under",1,2,0.27,2,3,7,33,3,0,9,5,1,1,6,0,0,22,7,9,43.8,"No"
"269",1352000,"Jose Luis Palomino","D","Argentina","atalanta",30,27,1,0,3,"No",0.04,25,0.15,0.04,0.25,26.8,0,1251,84,92,90.7,60.6,0.56,0,0,0,"Equal and under",1,3,0.11,43,5,22,17,34,1,175,1,0,3,5,0,2,12,87,42,67.4,"No"
"270",728000,"Joshua Zirkzee","ST","Holland","parma-calcio-1913",19,1.3,0,0,0,"No",0,0,0.8,0,0,8.1,0,22,64.7,88.2,54.5,0,1.59,0,1,0,"Equal and under",0,0,0,2,0,3,8,0,0,1,3,0,1,4,0,0,0,1,12,7.7,"No"
"271",3068000,"Josip Ilicic","ST","Slovenia","atalanta",32,17,6,2,2,"No",0.24,31.6,3.36,1.06,0.07,19.9,4,751,74.4,85.5,75.9,59.7,6.07,9,7,5,"Over",0,20,1.18,4,5,16,103,13,2,2,58,6,36,49,0,8,63,1,23,4.2,"Yes"
"272",676000,"Juan Brunetta","M","Argentina","parma-calcio-1913",23,5.3,1,0,3,"No",0.19,50,1.89,0.95,0.1,18.2,1,152,80.4,86.9,85.9,65.7,2.84,5,1,2,"Equal and under",0,2,0.38,1,0,5,29,4,0,1,18,1,2,18,0,1,10,2,10,16.7,"No"
"273",8476000,"Juan Cuadrado","D","Colombia","juventus",32,24.2,2,1,9,"Yes",0.04,33.3,0.74,0.25,0.06,17.7,0,1491,82.9,88.3,91.1,61.7,4.55,24,12,1,"Over",1,17,0.7,21,5,26,60,33,1,45,58,4,32,24,0,3,92,13,23,36.1,"Yes"
"275",624000,"Julian Chabot","D","Germany","spezia-calcio",22,18.4,1,0,11,"Yes",0.05,22.2,0.49,0.11,0.11,8.9,0,915,87.4,93.2,92.2,76.6,0.6,0,0,2,"Equal and under",0,2,0.11,36,2,17,6,21,1,111,13,0,2,7,1,0,2,64,33,66,"No"
"276",213200,"Junior Messias","ST","Brazil","crotone",29,35.7,9,0,6,"No",0.25,32.7,2.74,0.9,0.09,21.2,9,913,73.7,83.3,78.9,47.7,3.05,11,20,15,"Over",5,14,0.39,42,12,38,177,33,0,75,100,7,32,96,0,5,60,32,70,31.4,"No"
"277",2028000,"Juraj Kucka","M","Slovakia","parma-calcio-1913",33,25.9,7,4,8,"No",0.12,26.8,2.16,0.58,0.05,20.4,2,673,73.2,83.1,73.6,55,1.93,1,6,3,"Over",0,7,0.27,42,8,43,97,28,0,53,32,6,2,45,0,4,14,86,57,60.1,"Yes"
"278",832000,"Kaan Ayhan","D","Turkey","u.s.-sassuolo",25,8.8,0,0,3,"No",0,0,0.57,0,0,15.1,2,516,91.8,95.3,94.1,76.3,0.34,0,0,0,"Equal and under",0,0,0,11,2,6,6,12,0,76,3,0,3,2,0,0,3,15,16,48.4,"No"
"279",10140000,"Kalidou Koulibaly","D","Senegal","napoli",29,24.5,0,0,10,"Yes",0,10,0.41,0.04,0,11.4,0,1555,89.6,94.6,94.3,73.5,0.69,1,0,0,"Equal and under",0,1,0.04,29,2,19,16,26,2,254,12,1,0,6,1,0,6,45,34,57,"No"
"280",3484000,"Kamil Glik","D","Poland","benevento",32,35.6,2,0,10,"Yes",0.06,37.9,0.81,0.31,0.07,10,0,1135,89.7,91,94.4,78.9,0.36,0,1,0,"Equal and under",0,1,0.03,34,1,29,11,21,1,328,4,0,0,6,1,0,1,91,49,65,"No"
"282",2392000,"Karol Linetty","M","Poland","torino",25,20.4,1,0,5,"No",0.05,42.9,0.34,0.15,0.14,17.1,0,607,82.7,88.1,85.3,70.7,1.77,1,4,1,"Equal and under",1,1,0.05,30,10,27,54,16,0,38,17,0,6,29,0,1,7,8,15,34.8,"No"
"283",3640000,"Keita Balde","ST","Senegal","u.c.-sampdoria",25,13.3,7,0,4,"Yes",0.53,43.2,3.31,1.43,0.16,13.5,0,237,74.8,80.9,79.8,52,3.31,0,5,7,"Over",2,5,0.38,7,2,4,118,6,0,6,14,0,22,42,0,4,11,19,44,30.2,"No"
"284",416000,"Kevin Agudelo","M","Colombia","spezia-calcio",21,15.1,1,0,4,"No",0.07,21.1,1.26,0.27,0.05,17.3,0,232,72.5,82,76.5,59.2,2.32,1,4,5,"Over",3,4,0.27,30,13,25,142,30,0,5,45,2,18,36,0,2,10,20,36,35.7,"No"
"285",1040000,"Kevin Bonifazi","D","Italy","udinese",24,27.4,0,0,4,"No",0,0,0.62,0,0,13.8,0,1208,89.6,91.7,95.7,75.3,0.26,2,0,0,"Equal and under",0,1,0.04,26,2,11,16,25,2,308,16,1,1,11,0,0,4,46,24,65.7,"No"
"286",1196000,"Kevin Lasagna","ST","Italy","hellas-verona",27,14.1,2,0,0,"No",0.14,23.3,2.13,0.5,0.07,14.1,0,194,74.6,87.2,67.7,52.2,2.06,0,2,1,"Equal and under",2,3,0.21,1,2,3,123,10,0,9,10,0,10,49,0,23,8,24,62,27.9,"No"
"287",1196000,"Kevin Lasagna","ST","Italy","udinese",27,12.3,2,0,1,"No",0.16,32.6,3.51,1.14,0.05,14.6,1,152,70.7,80.2,72.7,64.7,1.96,0,1,4,"Equal and under",1,3,0.24,3,2,10,85,9,0,8,8,1,9,28,0,9,10,19,38,33.3,"No"
"288",1352000,"Kevin Malcuit","D","France","napoli",28,0.4,0,0,0,"No",0,0,0,0,0,0,0,21,87.5,90,90.9,66.7,0,0,0,0,"Equal and under",0,0,0,0,0,0,2,1,0,1,1,0,0,3,0,0,0,1,2,33.3,"No"
"289",1352000,"Kevin Malcuit","D","France","acf-fiorentina",28,2.3,0,0,0,"No",0,0,0.87,0,0,21,0,64,70.3,95,67.6,30,1.3,0,2,0,"Equal and under",0,0,0,2,0,3,8,7,0,6,5,0,2,4,0,0,6,2,1,66.7,"No"
"290",520000,"Kevin Ruegg","D","Switzerland","hellas-verona",21,2.3,0,0,0,"No",0,100,0.44,0.44,0,24.7,0,56,68.3,93.3,75,23.1,0.44,0,0,0,"Equal and under",0,1,0.44,3,1,1,5,6,0,4,4,0,0,4,0,1,4,2,5,28.6,"No"
"291",5460000,"Kevin Strootman","M","Holland","genoa-cfc",30,14.6,0,0,7,"No",0,33.3,0.41,0.14,0,18.9,0,691,80.9,87,87.8,58.7,2.47,3,0,0,"Equal and under",2,5,0.34,27,1,16,54,33,0,25,9,1,4,9,0,1,15,15,18,45.5,"No"
"292",988000,"Koffi Djidji","D","France","crotone",27,16.9,1,0,4,"No",0.06,50,0.24,0.12,0.25,8.9,0,613,81.7,89.1,90,53,0.59,0,0,0,"Equal and under",0,1,0.06,22,4,13,20,27,0,134,8,0,0,4,0,1,3,34,24,58.6,"No"
"293",1040000,"Koray Gunter","D","Germany","hellas-verona",25,19.6,0,0,4,"No",0,33.3,0.31,0.1,0,16.8,0,961,88.7,89.2,93.2,78.7,0.61,0,0,1,"Equal and under",1,2,0.1,17,1,7,6,14,1,142,6,0,0,6,0,0,2,94,55,63.1,"No"
"294",6760000,"Kostas Manolas","D","Greece","napoli",29,25.5,0,0,5,"No",0,37.5,0.31,0.12,0,11.1,0,1424,93.5,94.5,97.3,84.8,0.7,1,1,2,"Equal and under",1,2,0.08,21,0,11,7,19,2,252,2,0,0,1,0,1,2,50,33,60.2,"No"
"295",156000,"Kristoffer Askildsen","M","Norway","u.c.-sampdoria",19,1.1,0,0,2,"No",0,0,0.95,0,0,25.6,0,8,42.1,50,66.7,25,0,0,0,0,"Equal and under",0,0,0,2,1,0,3,3,0,2,1,0,0,2,0,0,1,1,2,33.3,"No"
"296",1664000,"Kwadwo Asamoah","D","Ghana","cagliari",31,2.5,0,0,0,"No",0,50,0.8,0.4,0,21.5,0,93,85.3,92.1,88.9,70.8,0.8,0,0,0,"Equal and under",0,0,0,4,0,0,5,3,1,9,0,0,0,1,0,0,4,2,1,66.7,"No"
"297",4212000,"Lautaro Martinez","ST","Argentina","fc-internazionale-milano",22,28.5,17,2,5,"No",0.53,33.3,3.8,1.27,0.14,14.3,0,422,72.4,77.5,75.2,70,2.81,0,6,7,"Over",5,15,0.53,18,10,14,240,35,0,15,42,1,31,85,0,11,16,32,61,34.4,"Yes"
"298",468000,"Lautaro Valenti","D","Argentina","parma-calcio-1913",21,5.5,0,0,0,"No",0,0,0.72,0,0,25.8,0,273,81.7,92,88.1,68.6,0.36,0,0,0,"Equal and under",0,0,0,5,1,7,5,5,0,75,2,0,1,2,0,0,2,6,0,100,"No"
"299",676000,"Lennart Czyborra","D","Germany","genoa-cfc",21,13,1,0,2,"No",0.08,40,0.38,0.15,0.2,17.5,0,429,74.6,88.8,73.7,40,0.46,0,0,0,"Equal and under",0,0,0,7,4,12,32,22,0,37,10,1,2,13,0,0,17,11,21,34.4,"No"
"300",364000,"Leo Sena","M","Brazil","spezia-calcio",24,9.8,0,0,0,"No",0,0,0.2,0,0,22,0,532,88.4,89.2,91.2,87.1,1.83,1,0,0,"Equal and under",2,1,0.1,15,5,15,29,20,0,17,22,0,1,5,0,0,7,6,12,33.3,"No"
"301",10972000,"Leonardo Bonucci","D","Italy","juventus",33,22.5,2,0,4,"No",0.09,18.8,0.71,0.13,0.13,12.9,0,1339,90.1,95.6,95.2,76.1,0.4,1,0,0,"Equal and under",0,1,0.04,15,1,10,8,20,0,238,4,0,0,7,0,3,2,39,14,73.6,"No"
"302",2392000,"Leonardo Pavoletti","ST","Italy","cagliari",31,17.6,4,0,8,"No",0.23,25,2.5,0.62,0.09,10.1,0,308,72,74.7,72.2,67.6,1.53,0,0,7,"Equal and under",0,5,0.28,4,0,15,134,5,0,36,4,0,3,47,0,9,3,115,73,61.2,"No"
"303",5096000,"Leonardo Spinazzola","D","Italy","as-roma",27,23.6,2,0,0,"No",0.08,27.3,0.93,0.25,0.09,17.4,0,1014,79,86.8,84.4,59.7,2.84,0,11,1,"Equal and under",0,9,0.38,5,0,13,63,26,2,56,66,8,49,29,0,2,92,10,5,66.7,"No"
"304",936000,"Lisandro Magallan","D","Argentina","crotone",26,24.2,1,0,10,"No",0.04,22.2,0.37,0.08,0.11,7.2,0,916,83.5,89.9,87.2,66.7,0.7,1,0,1,"Equal and under",0,3,0.12,41,3,20,17,24,4,168,6,1,0,11,0,0,1,46,32,59,"No"
"305",1508000,"Lorenzo De Silvestri","D","Italy","bologna-fc-1909",32,23.8,2,0,4,"No",0.08,58.3,0.5,0.29,0.17,10.5,0,953,75.9,88.3,80,47.9,0.97,2,0,2,"Equal and under",1,0,0,17,4,22,39,59,2,97,5,0,0,5,0,1,35,51,35,59.3,"No"
"306",7800000,"Lorenzo Insigne","ST","Italy","napoli",29,31.8,19,8,2,"Yes",0.38,29.4,4.27,1.26,0.09,21.1,13,1486,79.8,89.8,82.9,61.4,4.81,12,14,18,"Equal and under",4,17,0.53,12,6,68,98,31,1,26,61,4,52,49,0,11,64,4,4,50,"Yes"
"308",3900000,"Lorenzo Pellegrini","M","Italy","as-roma",24,28.9,7,1,10,"No",0.21,37.1,2.42,0.9,0.09,19.5,10,1158,76.4,85.9,83.6,55.5,4.33,36,4,11,"Over",2,13,0.45,38,8,50,121,41,1,41,39,3,10,42,0,6,39,18,34,34.6,"Yes"
"309",1716000,"Lorenzo Tonelli","D","Italy","u.c.-sampdoria",30,19.8,1,0,11,"No",0.05,16.7,0.61,0.1,0.08,9.3,0,756,82.4,87.2,90,66.5,0.2,0,0,2,"Equal and under",0,3,0.15,22,0,13,20,20,1,203,0,0,0,5,0,1,0,50,34,59.5,"No"
"310",676000,"Lorenzo Venuti","D","Italy","acf-fiorentina",25,19.5,0,0,3,"No",0,0,0.2,0,0,18.9,0,578,73.2,86.5,74.3,45.7,1.33,0,0,0,"Equal and under",2,2,0.1,18,5,17,43,27,0,38,4,0,4,14,0,1,48,9,13,40.9,"No"
"311",832000,"Luca Caldirola","D","Italy","benevento",29,17.5,2,0,6,"Yes",0.11,50,0.46,0.23,0.25,12.9,0,654,84.7,93.9,90.4,62.9,0.29,0,0,1,"Equal and under",1,0,0,12,0,12,7,14,0,156,0,0,0,1,1,1,3,22,29,43.1,"No"
"312",1716000,"Luca Ceppitelli","D","Italy","cagliari",30,16.3,0,0,3,"No",0,14.3,0.43,0.06,0,10.1,0,685,84.4,88.3,92.8,62.3,0.49,0,0,0,"Equal and under",1,1,0.06,17,2,12,9,15,1,143,2,0,0,6,0,1,7,53,23,69.7,"No"
"313",728000,"Luca Cigarini","M","Italy","crotone",34,10.3,0,0,5,"Yes",0,12.5,1.55,0.19,0,27.4,4,625,83.6,91.6,88.7,68.9,3.49,12,0,1,"Equal and under",0,3,0.29,17,2,22,21,15,1,34,7,0,1,7,1,0,7,8,10,44.4,"No"
"314",676000,"Luca Marrone","D","Italy","crotone",30,17.6,0,0,8,"No",0,50,0.23,0.11,0,7.9,0,895,87.8,93.5,92.9,70.9,0.23,0,0,0,"Equal and under",2,1,0.06,19,0,10,6,21,1,264,1,1,0,1,0,0,0,22,14,61.1,"No"
"315",1716000,"Luca Pellegrini","D","Italy","genoa-cfc",21,7.1,0,0,2,"No",0,0,0.7,0,0,26.5,0,231,69.8,84.2,77.2,33.9,1.27,0,2,0,"Equal and under",0,1,0.14,9,3,10,21,11,0,21,16,2,2,20,0,0,20,5,11,31.3,"No"
"316",3640000,"Lucas Leiva","D","Brazil","lazio",32,23.7,0,0,10,"No",0,25,0.51,0.13,0,23,0,1295,86.9,90.2,90.2,79.1,1.18,1,0,0,"Equal and under",1,1,0.04,45,2,63,40,27,0,79,6,0,0,7,0,1,7,53,44,54.6,"No"
"317",1404000,"Lucas Martinez Quarta","D","Argentina","acf-fiorentina",24,16.5,1,0,4,"Yes",0.06,38.5,0.79,0.3,0.08,16.9,0,671,82.4,89.1,89.8,64.6,0.91,0,2,1,"Equal and under",1,1,0.06,31,3,28,25,15,1,124,14,1,0,12,0,0,4,31,31,50,"No"
"318",364000,"Lucien Agoume","M","France","spezia-calcio",18,8.9,0,0,2,"No",0,0,0.23,0,0,20.5,0,443,89.7,93.5,91.8,80.4,0.68,0,0,0,"Equal and under",0,2,0.23,11,0,11,14,14,1,30,5,0,1,2,0,0,0,10,6,62.5,"No"
"320",2860000,"Luis Alberto","M","Spain","lazio",26,29.1,9,0,5,"No",0.31,42,2.37,1,0.13,20.3,3,1520,78.3,87.9,83.3,57.4,4.95,24,4,3,"Equal and under",1,5,0.17,32,8,52,131,36,0,19,57,7,17,43,0,2,37,9,19,32.1,"No"
"321",3068000,"Luis Muriel","ST","Colombia","atalanta",29,16,22,3,0,"No",1.25,43.4,5.2,2.26,0.24,17.6,8,510,70.4,85.1,73.2,42.5,6.2,9,15,6,"Equal and under",1,18,1.13,12,9,18,139,16,0,6,57,10,34,53,0,4,40,27,49,35.5,"Yes"
"322",260000,"Luis Rojas","M","Chile","crotone",18,1.2,0,0,1,"No",0,0,0.87,0,0,25.5,0,39,78,85.7,84.2,42.9,0.87,0,0,1,"Equal and under",0,0,0,0,0,2,6,0,0,1,9,1,0,3,0,0,1,2,0,100,"No"
"323",1300000,"Luiz Felipe","D","Brazil","lazio",22,10.1,0,0,5,"No",0,0,0.3,0,0,15.2,0,500,91.6,93.6,93.8,84.3,0.69,0,0,0,"Equal and under",0,0,0,26,1,11,6,12,1,72,2,0,0,4,0,1,1,13,16,44.8,"No"
"324",676000,"Lukas Haraslin","ST","Slovakia","u.s.-sassuolo",24,3.7,0,0,1,"Yes",0,41.7,3.24,1.35,0,17.9,1,100,70.4,87.5,76.9,21.7,4.59,3,1,0,"Equal and under",0,3,0.81,5,2,3,18,4,0,6,8,0,5,5,0,1,9,4,2,66.7,"No"
